Key,화면,string_kr,string_en,string_ch,string_jp
home.title,Home,리오의 생일이 다가왔어!,Leo Day is coming up!,Leo的生日快到了！,レオの誕生日が近づいてる！
home.description,Home,"8월 22일은 소중한 리오의 생일이야🎉
생일 선물로 치즈케이크를 만들어 보자!","August 22 is Leo’s 24th birthday! 🎂
Let’s make him a cheesecake for his birthday!","8月22日是Leo的生日！🎂
我们来做个芝士蛋糕当生日礼物吧！","8月22日はレオの誕生日！🎂
誕生日プレゼントにチーズケーキを作ろう！"
home.start,Home,✨ 시작하기 ✨,✨ Start ✨,✨ 开始 ✨,✨ スタート ✨
dough.title,반죽,반죽에 필요한 재료를 넣어보자!,Let’s add the ingredients for the batter!,把做面糊需要的材料加进去吧！,生地に必要な材料を入れてみよう！
dough.complete,반죽,반죽 완성!,Batter’s ready!,面糊做好啦！,生地ができた！
dough.ingredient.creamcheese,반죽 재료,크림치즈,Cream Cheese,奶油奶酪,クリームチーズ
dough.ingredient.sugar,반죽 재료,설탕,Sugar,糖,砂糖
dough.ingredient.egg,반죽 재료,달걀,Egg,鸡蛋,卵
dough.ingredient.flour,반죽 재료,밀가루,Flour,面粉,小麦粉
dough.ingredient.vanilla,반죽 재료,바닐라향,Vanilla Extract,香草精,バニラエッセンス
dough.ingredient.lemon,반죽 재료,레몬즙,Lemon Juice,柠檬汁,レモン汁
dough.ingredient.sourcream,반죽 재료,사워크림,Sour Cream,酸奶油,サワークリーム
dough.ingredient.butter,반죽 재료,버터,Butter,黄油,バター
dough.ingredient.chili,반죽 재료,고춧가루,Chili Powder,辣椒粉,チリパウダー
dough.ingredient.garlic,반죽 재료,다진마늘,Garlic,蒜末,にんにく
dough.ingredient.soysauce,반죽 재료,간장,Soy Sauce,酱油,醤油
dough.ingredient.ketchup,반죽 재료,케찹,Ketchup,番茄酱,ケチャップ
meringue.title,머랭,거품기를 빠른 속도로 빙글빙글 돌리자!,Whisk quickly in circles!,快速地转动打蛋器！,泡立て器を素早くぐるぐる回そう！
meringue.notice,머랭,시간 안에 머랭을 만들지 못하면 실패!,Whip the meringue in time or you’ll fail!,没有在规定时间内打好蛋白霜就会失败！,時間内にメレンゲを作れないと失敗！
mold.title,틀 선택,케이크 틀을 골라보자!,Let’s pick a cake pan!,选个蛋糕模具吧！,ケーキ型を選ぼう！
mold.round,틀,원형 틀,Round Pan,圆形模具,丸型
mold.heart,틀,하트 틀,Heart Pan,爱心模具,ハート型
mold.cat,틀,고양이 틀,Cat Pan,猫咪模具,ネコ型
mold.confirm,틀 선택,이 틀로 할래!,Confirm!,就选这个！,これにする！
oven.temperature.title,오븐,몇 도로 구워야 할까?,What temperature should I use?,要用多少度烤呢？,何度で焼こうかな？
oven.timing.title,오븐,타이밍을 잘 맞춰서 케이크를 꺼내야 해!,Time it right and take it out!,把握好时机把蛋糕拿出来！,タイミングよくケーキを取り出さなきゃ！
oven.stop,오븐,정지!,Stop!,停止！,ストップ！
topping.title,토핑,흐음… 리오가 무슨 토핑을 좋아하려나?,Hmm… I wonder what Leo likes on his cake.,嗯……不知道Leo喜欢什么蛋糕配料呢？,うーん…レオはどんなトッピングが好きかな？
topping.strawberry,토핑,딸기,Strawberry,草莓,いちご
topping.mango,토핑,망고,Mango,芒果,マンゴー
topping.cherry,토핑,체리,Cherry,樱桃,さくらんぼ
topping.lotus,토핑,로투스,Lotus,Lotus Biscoff,ロータス ビスコフ
topping.confirm,토핑,토핑 완성!,Topping’s ready!,配料完成！,トッピング完成！
deco.title,장식,마지막으로 리오에게 하고 싶은 말을 담는 거야.,Finally… a little message for Leo.,最后……给Leo留句话吧。,最後に…レオへのメッセージを添えよう。
deco.message.1,장식 메시지,생일 축하해! 🎉☃️,Happy Birthday!☃️,生日快乐！🎉☃️,お誕生日おめでとう！☃️
deco.message.2,장식 메시지,오늘도 고마워 🌌,Thx as always!🌌,一直都谢谢你！🌌,いつもありがと！🌌
deco.message.3,장식 메시지,사랑해~❤️,Love ya~ ❤️,爱你哦~❤️,大好き~❤️
